都道府県,ID,遺跡群名,遺跡名,地点地区名,文化層石器文化,Latitude,Longitude,時期区分
東京都,130446,,松月院境内遺跡,第1地点,第1文化層,35.78166667,139.6477778,0
東京都,130447,,松月院境内遺跡,第1地点,第2文化層,35.78166667,139.6477778,0
東京都,130448,,大門遺跡,,第1文化層,35.78166667,139.6486111,1
東京都,130449,,大門遺跡,,第2文化層,35.78166667,139.6486111,1
東京都,130450,,大門遺跡,,第3文化層,35.78166667,139.6486111,1
東京都,130451,,大門遺跡,,第4文化層,35.78166667,139.6486111,1
東京都,130452,,大門遺跡,,第5文化層,35.78166667,139.6486111,0
東京都,130453,,大門遺跡,,第6文化層,35.78166667,139.6486111,1
東京都,130454,,赤塚下寺家番匠免遺跡,第1地点,第1文化層,35.78,139.6486111,1
東京都,130455,,赤塚下寺家番匠免遺跡,第1地点,第2文化層,35.78,139.6486111,0
東京都,130456,,赤塚下寺家番匠免遺跡,第1地点,遺構覆土,35.78,139.6486111,0
東京都,130457,,赤塚第一中学校北方遺跡,,,35.77222222,139.6516667,1
東京都,130458,四葉地区遺跡群,西部台地遺跡,Ｉ地区,第Ⅹ層,35.78194444,139.6508333,0
東京都,130459,,高山遺跡,,,35.77805556,139.6611111,1
東京都,130460,四葉地区遺跡群,西部台地遺跡,C地区,第Ⅹ層,35.78027778,139.6508333,0
東京都,130461,四葉地区遺跡群,西部台地遺跡,Ｉ地区,第Ⅸ層,35.78194444,139.6508333,0
東京都,130462,,徳丸東遺跡,,縄文包含層,35.77861111,139.6594444,1
東京都,130463,,徳丸北野神社遺跡,,かく乱層,35.77833333,139.6602778,1
東京都,130464,四葉地区遺跡群,西部台地遺跡,C地区,第Ⅸ層,35.78027778,139.6508333,1
東京都,130465,,西台後藤田遺跡,,第Ⅳ層下部文化層,35.77305556,139.6719444,1
東京都,130466,四葉地区遺跡群,西部台地遺跡,Ｉ地区,第Ⅶ層,35.78194444,139.6508333,1
東京都,130467,,西台後藤田遺跡,,第Ⅴ層上部文化層,35.77305556,139.6719444,1
東京都,130468,四葉地区遺跡群,西部台地遺跡,C地区,第Ⅶ層,35.78027778,139.6508333,1
東京都,130469,,西台後藤田遺跡,,第Ⅴ層下部文化層,35.77305556,139.6719444,1
東京都,130470,四葉地区遺跡群,西部台地遺跡,Ｉ地区,第Ⅵ層,35.78194444,139.6508333,1
東京都,130471,,西台後藤田遺跡,,第Ⅶ層文化層,35.77305556,139.6719444,1
東京都,130472,四葉地区遺跡群,西部台地遺跡,C地区,第Ⅵ層,35.78027778,139.6508333,0
東京都,130473,,西台後藤田遺跡,,第Ⅸc層上部文化層,35.77305556,139.6719444,0
東京都,130474,四葉地区遺跡群,西部台地遺跡,Ｉ地区,第Ⅳ層下部,35.78194444,139.6508333,1
東京都,130475,,西台後藤田遺跡,,第Ⅹa層文化層,35.77305556,139.6719444,1
東京都,130476,四葉地区遺跡群,西部台地遺跡,C地区,第Ⅳ層下部,35.78027778,139.6508333,1
東京都,130477,,西台後藤田遺跡,,第Ⅹb層文化層,35.77305556,139.6719444,0
東京都,130478,四葉地区遺跡群,中央台地遺跡,C地区リ,第Ⅸ層,35.78055556,139.6516667,0
東京都,130479,,上台遺跡,,,35.77972222,139.6705556,1
東京都,130480,四葉地区遺跡群,西部台地遺跡,,撹乱等,35.78194444,139.6508333,4
東京都,130481,四葉地区遺跡群,中央台地遺跡,Ｃ地区ネ・H地区,第Ⅳ層下部,35.78166667,139.6530556,1
東京都,130482,,五段田遺跡,北地区,遺構覆土,35.77388889,139.6688889,1
東京都,130483,,五段田遺跡,南地区,4号調査区,35.77388889,139.6688889,0
東京都,130484,四葉地区遺跡群,中央台地遺跡,,撹乱等,35.78166667,139.6530556,3
東京都,130485,四葉地区遺跡群,東部台地遺跡,Ｊ地区二・ホ,第Ⅸ層,35.78083333,139.6555556,0
東京都,130486,,五段田遺跡,南地区,5号調査区,35.77388889,139.6688889,1
