ID,都道府県,JPRAID,遺跡群名,遺跡名,地点地区名,文化層石器文化,所在地,Latitude,Longitude,時期区分
2936,神奈川県,140069,,西谷戸の上遺跡,,,横浜市港北区新吉田町,35.54527778,139.6036111,2
2941,神奈川県,140074,,五力田遺跡,第１地区,,川崎市麻生区五力田300他,35.60833333,139.485,2
2945,神奈川県,140078,,長尾台北遺跡,,,川崎市多摩区長尾６-1136他,35.60861111,139.5802778,2
2947,神奈川県,140080,,菅生遺跡,,,川崎市宮前区菅生２-10-１付近,35.59833333,139.5525,2
2952,神奈川県,140087,,十三菩提遺跡,,,川崎市宮前区野川2270他,35.57222222,139.6088889,2
2957,神奈川県,140092,,子母口貝塚,Ａ貝塚,,川崎市高津区子母口240,35.57138889,139.6283333,2
2958,神奈川県,140093,,子母口貝塚,,,川崎市高津区子母口240付近,35.57138889,139.6283333,2
2961,神奈川県,140096,,末長中原遺跡,,,川崎市高津区末長874付近,35.58861111,139.6130556,2
2962,神奈川県,140097,,栗谷遺跡,,ソフトローム最上部,川崎市多摩区生田字栗谷,35.6125,139.5386111,2
2966,神奈川県,140101,黒川地区遺跡群,黒川地区遺跡群No.11遺跡,,,川崎市麻生区黒川字柳之町1259他,35.61611111,139.4602778,2
2967,神奈川県,140102,黒川地区遺跡群,黒川地区遺跡群No.15遺跡,,黒色土上層/ローム層直上,川崎市麻生区黒川字谷ツ989-1他,35.61972222,139.4613889,2
2971,神奈川県,140106,黒川地区遺跡群,宮添遺跡,,,川崎市麻生区黒川113-４他,35.61666667,139.4688889,2
2981,神奈川県,140117,,金程向原遺跡,第Ⅲ地点,,川崎市麻生区金程字西平194他,35.61055556,139.4983333,2
2982,神奈川県,140118,,三荷座前遺跡,第１地点,,川崎市宮前区野川字北耕地362,35.58,139.6166667,2
2983,神奈川県,140119,,井田中原遺跡,Ｂ地点,漸移～L1S,川崎市中原区井田1485-１他,35.58083333,139.5641667,2
2999,神奈川県,140135,佐島の丘遺跡群,一本松遺跡,南A地区,縄文,横須賀市佐島,35.22861111,139.6113889,2
3008,神奈川県,140144,,向原遺跡,,L1H,平塚市上吉沢1714,35.34444444,139.2797222,2
3010,神奈川県,140146,,王子ノ台遺跡,,,平塚市北金目1112番地外,35.36638889,139.2772222,2
3011,神奈川県,140147,真田・北金目遺跡群,,1区,,平塚市北金目1422・1423-イ番外,35.3625,139.2852778,2
3022,神奈川県,140158,,小宮阿弥陀畑遺跡,,,平塚市根坂間字小宮,35.33694444,139.3,2
3023,神奈川県,140159,,権現堂遺跡,第２地点,L1Su,平塚市岡崎字権現堂,35.38361111,139.3016667,2
3067,神奈川県,140203,,今田遺跡,,Ⅰ,藤沢市今田688ｰ1番地,35.39583333,139.4725,2
3087,神奈川県,140223,用田バイパス関連遺跡群,用田南原遺跡,,Ⅱ,藤沢市用田541番地他,35.40777778,139.4166667,2
3098,神奈川県,140234,用田バイパス関連遺跡群,葛原滝谷遺跡,,Ⅲ,藤沢市葛原1715番地他,35.40416667,139.4247222,2
3110,神奈川県,140246,,藤沢市No.419遺跡,第２地点,Ⅰ,藤沢市湘南台7-9-9番地他,35.39805556,139.4755556,2
3115,神奈川県,140251,,菖蒲沢大谷遺跡,,Ⅰ,藤沢市菖蒲沢字大谷1232番地他,35.39833333,139.4452778,2
3131,神奈川県,140267,藤沢市北部第二（三地区）土地区画整理事業区域内遺跡群,葛原東山田地区遺跡,第４地点,Ⅰ,藤沢市下土棚字諏訪ノ棚2004-2番地,35.405,139.4408333,2
