"JASID","自治体コード","遺跡番号","ふりがな","遺跡名","所在地","経度","緯度","旧石器時代","縄文時代","弥生時代","古墳時代","奈良時代","平安時代","中世","近世","時代不明"
13228000700,13228,"7","とくらおおらっぱらいせき","戸倉オオラッ原遺跡","あきる野市 戸倉",139.2028926,35.72747735,0,1,0,0,0,0,0,0,0
13228000800,13228,"8","しもじゅくみちうえいせき","下宿道上遺跡","あきる野市 戸倉",139.2051928,35.72669696,0,1,0,0,0,0,0,0,0
13228000900,13228,"9","まえはたいせき","前畑遺跡","あきる野市 小中野",139.211982,35.72767942,0,1,0,0,0,0,0,0,0
13228001000,13228,"10","たけのはないせき","竹の花遺跡","あきる野市 小中野",139.2138703,35.727122,0,1,0,0,0,0,0,0,0
13228001100,13228,"11","にしいりのいせき","西入野遺跡","あきる野市 五日市",139.2176469,35.73197144,0,1,0,0,0,0,0,0,0
13228001200,13228,"12","いつかいちこうこういせき","五日市高校遺跡","あきる野市 五日市",139.2181275,35.72910083,0,1,0,0,0,0,0,0,0
13228001300,13228,"13","かしばらいせき","柏原遺跡","あきる野市 小和田",139.2185395,35.7227461,0,1,0,0,0,0,0,0,0
13228001400,13228,"14","いつかいちちゅうがっこういせき","五日市中学校遺跡","あきる野市 五日市",139.2210801,35.73066156,0,1,0,0,0,0,0,0,0
13228001500,13228,"15","いりのざかいせき","入野坂遺跡","あきる野市 五日市",139.2220414,35.73283539,0,1,0,0,1,0,0,0,0
13228001600,13228,"16","まつばらいせき","松原遺跡","あきる野市 五日市",139.2241357,35.72492015,0,1,0,0,0,1,0,0,0
13228001700,13228,"17","こづくえだいらいせき","小机平遺跡","あきる野市 三内",139.2260583,35.73927291,0,1,0,0,0,0,1,0,0
13228001800,13228,"18","おぐらはらいせき","小倉原遺跡","あきる野市 入野",139.2262643,35.73353211,0,1,0,0,0,0,0,0,0
13228001900,13228,"19","なかむらいせき","中村遺跡","あきる野市 留原",139.2286675,35.7281811,0,1,0,0,0,1,0,0,0
13228002000,13228,"20","ととはらいせき","留原遺跡","あきる野市 留原",139.2318261,35.72319207,0,1,0,0,0,1,0,0,0
13228002100,13228,"21","みとうがいどいせき","みとうがいど遺跡","あきる野市 館谷",139.2341607,35.72781878,0,1,0,1,0,0,0,0,0
13228002200,13228,"22","たてやこふんぐん","舘谷古墳群","あきる野市 館谷",139.2327187,35.72820897,0,0,0,1,0,0,0,0,0
13228002300,13228,"23","てんのうざわいせき","天王沢遺跡","あきる野市 高尾",139.2363923,35.72296909,0,1,0,1,0,0,0,0,0
13228002400,13228,"24","はししたいせき","橋下遺跡","あきる野市 高尾",139.2373536,35.72511525,0,1,0,0,0,0,0,0,0
13228002500,13228,"25","だいひがんじいせき","大悲願寺遺跡","あきる野市 横沢",139.2415078,35.73250096,0,0,0,0,0,0,1,0,0
13228002600,13228,"26","ひがしだいらいせき","東平遺跡","あきる野市 横沢",139.2434991,35.73311408,0,1,0,1,0,1,0,0,0
13228002700,13228,"27","ばんばいせき","番場遺跡","あきる野市 高尾",139.2411645,35.72890574,0,0,0,0,0,1,0,0,0
13228002800,13228,"28","あじろじょうあと","網代城跡","あきる野市 網代",139.2427781,35.72046051,0,0,0,0,0,0,1,0,0
13228002900,13228,"29","まえはらいせき","前原遺跡","あきる野市 伊奈",139.2477219,35.73202718,0,1,0,0,0,1,0,0,0
13228003000,13228,"30","あじろべんてんどうけついせき","網代弁天洞穴遺跡","あきる野市 網代",139.246692,35.720572,0,1,1,0,0,1,1,1,0
13228003100,13228,"31","しょうがんじいせき","松岩寺遺跡","あきる野市 北伊奈",139.2521165,35.73534358,0,0,1,0,0,0,1,0,0
13228003200,13228,"32","もんぐちいせき","門口遺跡","あきる野市 網代",139.2520135,35.72333143,0,1,0,1,0,1,0,0,0
13228003300,13228,"33","ひきやがやといせき","引谷ヶ谷戸遺跡","あきる野市 網代",139.2512925,35.72065562,0,1,0,0,1,1,1,0,0
13228003400,13228,"34","みずくさきいせき","水草木遺跡","あきる野市 伊奈",139.2577813,35.73277965,0,1,0,1,1,1,1,1,0
13228003500,13228,"35","にしみねいせき","西峯遺跡","あきる野市 網代",139.2547601,35.72112947,0,1,0,1,0,0,0,0,0
13228003600,13228,"36","やまだこふん","山田古墳","あきる野市 山田",139.2599786,35.72578417,0,0,0,1,1,0,0,0,0
13228003700,13228,"37","てんじんひがしいせき・しずのごういせき","天神東遺跡・静の郷遺跡","あきる野市 山田",139.2655061,35.72422335,0,1,0,0,0,0,0,0,0
13228003800,13228,"38","つぼまつえーいせき","坪松A遺跡","あきる野市 網代",139.2567513,35.72104585,0,1,0,0,0,1,0,0,0
13228003900,13228,"39","つぼまつびーいせき","坪松B遺跡","あきる野市 網代",139.2560647,35.72037689,0,1,0,1,1,1,0,0,0
13228004000,13228,"40","まつはたいせき","松畑遺跡","あきる野市 網代",139.2570946,35.71934556,0,1,0,0,0,0,0,0,0
13228004100,13228,"41","ままうえいせき","儘上遺跡","あきる野市 高尾",139.2376282,35.72299696,0,1,0,0,0,0,1,1,0
13228004200,13228,"42","すがおだいいちいせき","菅生第一遺跡","あきる野市 菅生",139.2873744,35.75373129,0,1,0,1,0,0,0,0,0
13228004300,13228,"43","すがおだいにいせき","菅生第二遺跡","あきる野市 菅生",139.2879237,35.7515023,0,1,0,1,0,0,0,0,0
13228004400,13228,"44","すがおだいさんいせき","菅生第三遺跡","あきる野市 菅生",139.289812,35.74553947,0,1,0,1,0,1,0,1,0
13228004500,13228,"45","","あきる野市<U+FFFD><U+FFFD>45遺跡","あきる野市 菅生",139.2836665,35.74317093,0,0,0,1,0,0,0,0,0
13228004600,13228,"46","","あきる野市<U+FFFD><U+FFFD>46遺跡","あきる野市 草花",139.2947987,35.74245687,0,1,0,1,0,0,0,0,0
13228004701,13228,"47-1","みどううえこふんぐん1ごうこふん","御堂上古墳群1号古墳","あきる野市 草花",139.2936829,35.74205282,0,0,0,1,0,0,0,0,0
13228004702,13228,"47-2","みどううえこふんぐん2ごうこふん","御堂上古墳群2号古墳","あきる野市 草花",139.2946099,35.74208068,0,0,0,1,0,0,0,0,0
13228004703,13228,"47-3","みどううえこふんぐん3ごうこふん","御堂上古墳群3号古墳","あきる野市 草花",139.2939747,35.74160696,0,0,0,1,0,0,0,0,0
13228004704,13228,"47-4","みどううえこふんぐん4ごうこふん","御堂上古墳群4号古墳","あきる野市 草花",139.2969102,35.74096604,0,0,0,1,0,0,0,0,0
13228004800,13228,"48","はけたいせき","羽ヶ田遺跡","あきる野市 草花",139.2984723,35.7409939,0,1,0,0,0,0,0,0,0
13228004900,13228,"49","きたこみやいせき","北小宮遺跡","あきる野市 草花",139.3028325,35.74060377,0,1,0,1,1,1,0,0,0
13228005000,13228,"50","きたこみやこふん","北小宮古墳","あきる野市 草花",139.3013905,35.74056197,0,0,0,1,0,0,0,0,0
13228005100,13228,"51","","あきる野市<U+FFFD><U+FFFD>51遺跡","あきる野市 草花",139.3054589,35.73916864,0,1,0,0,0,0,0,0,0
13228005200,13228,"52","","あきる野市<U+FFFD><U+FFFD>52遺跡","あきる野市 草花",139.3060597,35.73751053,0,1,0,0,0,0,0,0,0
13228005300,13228,"53","","あきる野市<U+FFFD><U+FFFD>53遺跡","あきる野市 草花",139.2993199,35.75091892,0,1,0,0,0,0,0,0,0
13228005400,13228,"54","","あきる野市<U+FFFD><U+FFFD>54遺跡","あきる野市 草花",139.3045384,35.74785395,0,1,0,0,0,0,0,0,0
13228005500,13228,"55","","あきる野市<U+FFFD><U+FFFD>55遺跡","あきる野市 草花",139.3084522,35.74905209,0,1,0,0,0,0,0,0,0
13228005600,13228,"56","","あきる野市<U+FFFD><U+FFFD>56遺跡","あきる野市 草花",139.310083,35.74658613,0,1,0,0,0,0,0,0,0
13228005700,13228,"57","はしば・えりいせき","橋場・江里遺跡","あきる野市 草花",139.3081947,35.74544368,0,1,0,1,0,1,0,0,0
13228005800,13228,"58","はしばいせき","橋場遺跡","あきる野市 草花",139.3054825,35.74209984,0,1,0,1,1,1,0,0,0
